Part No,Name,Category,Stock,Image Path,History
T0052923499,WXMP MS Soldering Iron Set,Soldering Station | ???,200.0,1.jpg,"nan2025-06-06 03:00:37.300591 | เติม 0 by 10
2025-06-06 03:03:10.991212 | เติม 10 by B
2025-06-06 03:03:24.299715 | เบิก 5 by 
2025-06-06 03:05:56.471475 | เบิก 0 by 10
2025-06-06 03:06:10.219190 | เบิก 10 by 
2025-06-06 03:10:28.491813 | เบิก 100 by B
2025-06-06 03:10:45.468083 | เติม 100 by B
2025-06-06 03:28:07.404853 | เติม 100 by B
"
,10cc EFD cartridge adapter assembly 10cc EFD,Fluid Dispenser ???,1.0,,"nan2025-06-06 03:02:56.389788 | เบิก 1 by B
"
7012338,30/55cc EFD cartridge Adaptor 30/55cc EFD,Fluid Dispenser ???,1.0,,
,Air manifold (Ultimus I) (Ultimus I),Fluid Dispenser ???,0.0,,
,Foot pedal assembly,Fluid Dispenser ???,2.0,,
7364470,Front panel (Ultimus I)(?Ultimus I?),Fluid Dispenser ???,1.0,,
,Main board (Ultimus I)(Ultimus I),Fluid Dispenser ???,0.0,,
,"Knob, vacuum or pressure regulator?",Fluid Dispenser ???,1.0,,
,"Work panel, right",Fluid Dispenser ???,0.0,,
,"Universal power supply, 25W?25W",Fluid Dispenser ???,2.0,,
PR-50-004593,"Silicone O-Ring,ID 3.109""(78.9mm),OD3.387""(86mm)o",Ultrasonic Bath | ??????,95.0,,
PR-50-004595,Branson Beaker Positioning Cover ??,Ultrasonic Bath | ??????,1.0,,
PR-50-004594,"Pyrex® 600ML GLASS BEAKER (PYREX® 600) ,McMaster-Carr #2766T62??",Ultrasonic Bath | ??????,3.0,,
EC-QS-000220-AC1,"Eurotherm 3216 PID Temperature Controller,Eurotherm 3216 PID",Hot air station | ????,3.0,,
EC-QS-000220-AC2,Grade A Gauge 5125(A5125),Hot air station | ????,3.0,,
35A-AAA-DDAA-1BA 24VDC,2-way pneumatic valve 5030(25030),Hot air station | ????,2.0,,
35A-AAA-DDAA-1BA 24VDC,3-way pneumatic valve 5031(35031?,Hot air station | ????,2.0,,
,"Beahm Thermal Nozzle 211 dual port ""U""?211“U”?",Hot air station | ????,3.0,,
,"Model: LX56W,LED /56",Microscope,8.0,,
,Video microscope HD eyepiece(),Microscope,10.0,,
FXT-00185,Riveting bit Affera FXT-00185?Affera FXT-00185?,Non-Tip Riveting Fixture | ??????,6.0,,
FXT-00184-01,Riveting Nest Top Plate Affera FXT-00184-01?FXT-00184-01),Non-Tip Riveting Fixture | ??????,2.0,,
FXT-00184-06,Top Cover Plate(?,Non-Tip Riveting Fixture | ??????,0.0,,
,Riveting Anvil Affera FXT-00184-08?FXT-00184-08?,Non-Tip Riveting Fixture | ??????,2.0,,
,"0.25"" LONG COMPRESSION-SPRING Affera McMaster-Carr # 1807N113?0.25""Affera McMaster-Carr # 1807N113?",Non-Tip Riveting Fixture | ??????,20.0,,
,M5 X 0.80MM NICKEL-PLATED BRASS  PUSH-TO-CONNECT FITTING“m5 x 0.80,Non-Tip Riveting Fixture | ??????,10.0,,
FXT-00184-07,Ram Bottom Stop Affera FXT-00184-07FXT-00184-07,Non-Tip Riveting Fixture | ??????,8.0,,
,M3 THREAD ELBOW FITTINGS Affera PNEUMADYNE ELB25-M3M3ELB25-M3,Non-Tip Riveting Fixture | ??????,4.0,,
PCIMAS-D5-V3-T0.05,PCIMAS-D5-V3-T0.05,Non-Tip Riveting Fixture | ??????,8.3,,
PCIMAS-D5-V3-T0.1,PCIMAS-D5-V3-T0.1,Non-Tip Riveting Fixture | ??????,4.0,,
PCIMAS-D5-V3-T0.2,PCIMAS-D5-V3-T0.2,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D5-V3-T0.5,PCIMAS-D5-V3-T0.5,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D5-V3-T1,PCIMAS-D5-V3-T1,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D6-V4-T0.05,PCIMAS-D6-V4-T0.05,Non-Tip Riveting Fixture | ??????,4.0,,
PCIMAS-D6-V4-T0.1,PCIMAS-D6-V4-T0.1,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D6-V4-T0.2,PCIMAS-D6-V4-T0.2,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D6-V4-T0.5,PCIMAS-D6-V4-T0.5,Non-Tip Riveting Fixture | ??????,2.0,,
PCIMAS-D6-V4-T1,PCIMAS-D6-V4-T1,Non-Tip Riveting Fixture | ??????,2.0,,
M053318CDOC14,TIP RIVETING PIN,Tip Riveting Fixture | ?????,2.0,,
1986K332,SPRING,Tip Riveting Fixture | ?????,21.0,,
8969T544,SPRING,Tip Riveting Fixture | ?????,10.0,,
M053318CDOC15,TIP ALIGNMENT CROWN,Tip Riveting Fixture | ?????,5.0,,
,LOAD CELL,Tip Riveting Fixture | ?????,0.0,,
SLMUS8G,LINEAR BEARING,Tip Riveting Fixture | ?????,3.0,,
M053318CDOC18A,LOAD CELL DISC,Tip Riveting Fixture | ?????,1.0,,
EC-QS-000236-AC8,PRESS PIN,Tip Riveting Fixture | ?????,6.0,,
1807N113,SPRING,Tip Riveting Fixture | ?????,20.0,,
5905K347,BEARING,Tip Riveting Fixture | ?????,2.0,,
PR-50-004744,FITTING,Tip Riveting Fixture | ?????,2.0,,
9435K670,SPRING,Tip Riveting Fixture | ?????,2.0,,
,Novus 1020 Digital controller(Oven Model 20AFE)Novus 1020(20AFE),Digital Lab Oven | ????,0.0,,
,AFE Series S.S. Relay(Oven Model 20AFE)AFES.S.(20AFE),Digital Lab Oven | ????,0.0,,
,Motor(Oven Model 20AFE)(20AFE 110V),Digital Lab Oven | ????,0.0,,
,Friction Catch(set)(Oven Model 20AFE)()(20AFE),Digital Lab Oven | ????,0.0,,
,"Heating Elements(Oven Model 20AFE),115V,1000Watts()(20AFE)(20AFE)?115V,1000",Digital Lab Oven | ????,0.0,,
,High-limit safety switch 180F (Oven Model 20AFE)180F(20AFE),Digital Lab Oven | ????,0.0,,
,Door Handle(Oven Model 20AFE)(20AFE),Digital Lab Oven | ????,0.0,,
,Fan blade(Oven Model 20AFE)(20AFE),Digital Lab Oven | ????,0.0,,
,Fuse-15AMP Lab Oven- 15amp,Digital Lab Oven | ????,0.0,,
FXT-00461-01,CLAMP ARM,Distal Wire Attach Machine | ?????,4.0,,
FXT-00461-02,CLAMP ARM LEFT,Distal Wire Attach Machine | ?????,4.0,,
EC-QS-000242-AC3,FEED NEEDLE,Distal Wire Attach Machine | ?????,8.0,,
FXT-00461-09,JAW PIN,Distal Wire Attach Machine | ?????,9.0,,
EC-QS-000242-AC5,HEATING ELEMENT,Distal Wire Attach Machine | ?????,5.0,,
PR-50-004746,M2 X 10 MM DOWEL PINM2 × 10mm,Distal Wire Attach Machine | ?????,0.0,,
FXT-00463-11,CAGE CLAMP SPRING ANCHOR,Distal Wire Attach Machine | ?????,19.0,,
EB10-M3,M3 TUBING BARBED ADAPTORM3,Distal Wire Attach Machine | ?????,14.0,,
,OIL-RESISTANT MIL. SPEC. BUNA-N O-RING?o,Distal Wire Attach Machine | ?????,10.0,,
PR-50-004747,EXTENSION SPRING WITH HOOK ENDS,Distal Wire Attach Machine | ?????,10.0,,
,"THERMOCOUPLE, TYPE Ee",Distal Wire Attach Machine | ?????,10.0,,
NETWS2,2MM GROVE RETAINING RING2mm,Distal Wire Attach Machine | ?????,19.0,,
PCIMRS3-5-0.1,"PRECISION SHIM 3MM ID,5MM OD,0.1MM TH3mm?5mm?0.1mm",Distal Wire Attach Machine | ?????,0.0,,
,WIRE GUIDE LEAF,Distal Wire Attach Machine | ?????,12.0,,
5513 020-44,"M2 INSERT SCREW, 5680 051-01 DRIVERM2?56800051 -01",Distal Wire Attach Machine | ?????,5.0,,
CIM012ZQ 04S,STAINLESS STEEL COMPRESSION SPRING,Distal Wire Attach Machine | ?????,5.0,,
 FXT-00463-01,PROXIMAL CLAMP ARM RIGHT,Proximal Wire Attach Machine | ?????,8.0,,
 FXT-00463-02,PROXIMAL CLAMP ARM LEFT,Proximal Wire Attach Machine | ?????,7.0,,
 FXT-00463-17,PROXIMAL HEATING ELEMENT 15 DEGREE15,Proximal Wire Attach Machine | ?????,6.0,,
FXT-00463-06,WIRE GUIDE CAP,Proximal Wire Attach Machine | ?????,2.0,,
FXT-00463-07,WIRE GUIDE BLOCK,Proximal Wire Attach Machine | ?????,2.0,,
LC 016AC 13S316,COMPRESSION SPRING LC 016AC 13S316lc 016ac 13s316,Proximal Wire Attach Machine | ?????,0.0,,
,CORROSION-RESISTANT BALL BEARING CARRIAGE,Proximal Wire Attach Machine | ?????,2.0,,
BYS3-10,"COMPACT BALL SLIDER 3MM ID, 10MM LG3mm id, 10mm lg",Proximal Wire Attach Machine | ?????,25.0,,
BYS3-15,"COMPACT BALL SLIDER, 3MM OD, 15MM LG?3mm?10mm?15mm",Proximal Wire Attach Machine | ?????,25.0,,
,KRYTOX™ LVP CLEAN ROOM SEAL AND O-RING GREASEKrytox™LVPo,Proximal Wire Attach Machine | ?????,1.0,,
C0-00AC,Power Supply Module of PLC KRYTOX™LVPoPLC,Proximal Wire Attach Machine | ?????,0.0,,
C0-00DR-D,Click PLC Controller  PLC,Proximal Wire Attach Machine | ?????,0.0,,
GCX3202-24L,Green 24V Push button24V,Proximal Wire Attach Machine | ?????,5.0,,
GCX3203-24L,Orange 24V Push button24V,Proximal Wire Attach Machine | ?????,5.0,,
GCX3131,Emergency stop Push button,Proximal Wire Attach Machine | ?????,5.0,,
ECX1651,E-STOP Legend plateE-STOP,Proximal Wire Attach Machine | ?????,5.0,,
AS1002F-04A,Inline Flow controller,Proximal Wire Attach Machine | ?????,0.0,,
,"Pressure Regulator 10-32 port, 0-100psi10-32?0-100psi",Proximal Wire Attach Machine | ?????,10.0,,
T-91-PS,Foot Patal with 1/4 Phone plug1/4,Proximal Wire Attach Machine | ?????,0.0,,
FXT-00461-04,CAGE CLAMP BODY,Proximal Wire Attach Machine | ?????,5.0,,
WIRE-PW-08-00-100,WIRE-PW-08-00-100 POWERWERX- pw - 08 - 00 - 100 POWERWERX,Proximal Wire Attach Machine | ?????,0.0,,
,FXT-00426-01,Tip Wire Attach Machine | ?????,2.0,,
,TIP WIRE ATTACH NECK CLAMP,Tip Wire Attach Machine | ?????,0.0,,
125-008-250,BELLEVILLE WASHER,Tip Wire Attach Machine | ?????,5.0,,
SSFRRA3-32-B2-S2,ROTATING SHAFT,Tip Wire Attach Machine | ?????,4.0,,
SFL693ZZ,EC-QS-000243-AC5FLANGED BALL BEARING McMaster-Carr # SFL693ZZ-# SFL693ZZ,Tip Wire Attach Machine | ?????,3.0,,
FXT-00354-01,Weld Mandrel,Neck Collar Welding machine | ?????,10.0,,
EC-QS-000237-AC19,Weld Electrode Plate,Neck Collar Welding machine | ?????,22.0,,
EC-QS-000237-AC3,braid with Brass Washer,Neck Collar Welding machine | ?????,4.0,,
FXT-00354-08,Neck Welder Cover,Neck Collar Welding machine | ?????,0.0,,
EC-QS-000237-AC5,Indexing Knob,Neck Collar Welding machine | ?????,2.0,,
FXT-00354-03,Neck Alignment Blade,Neck Collar Welding machine | ?????,8.0,,
LE 031B 09 M,EXTENSION SPRING,Neck Collar Welding machine | ?????,6.0,,
LE 016B 02 S,UPPER EXTENSION SPRING,Neck Collar Welding machine | ?????,6.0,,
,6MM_RETAINING RING6 mm_retaining,Neck Collar Welding machine | ?????,0.0,,
,STAINLESS STEEL BALL BEARING,Neck Collar Welding machine | ?????,10.0,,
,BELLEVILLE DISC SPRINGS,Neck Collar Welding machine | ?????,0.0,,
FXT-00204-1,NOZZLE PUSHER PIN,Nozzle Forming Machine | ?????,4.0,,
FXT-00204-2,HEMISPHERICAL FORMING TOOL,Nozzle Forming Machine | ?????,4.0,,
8486A11,Press-Fit Drill For Drill Bit Size: 1.25mm Bushing:1.25,Nozzle Forming Machine | ?????,8.0,,
AS1201F-M5-03(A),FLOW CONTROL METER-OUT,Nozzle Forming Machine | ?????,0.0,,
,M3 X 4MM SET SCREWM3 × 4mm,Nozzle Forming Machine | ?????,0.0,,
,WAVE DISC SPRING,Nozzle Forming Machine | ?????,25.0,,
,3MM X 6MM DOWEL PIN3mm × 6mm,Nozzle Forming Machine | ?????,50.0,,
,HEAVY LOAD COIL SPRING,Nozzle Forming Machine | ?????,2.0,,
WSSMH8-3-1,HARDENED METAL WASHER,Nozzle Forming Machine | ?????,0.0,,
WSSMH5-3-1,HARDENED METAL WASHER,Nozzle Forming Machine | ?????,0.0,,
,BALL BEARING CARRIAGE,Nozzle Forming Machine | ?????,2.0,,
FXT-00198-4,NOZZLE MANDREL,Nozzle Head Abrasion system | ???????,2.0,,
,30 Gauge Dispense Needle30,Peristaltic Pump |  ???,50.0,,
,"1/8” Plastic Quick-Turn Tube Coupling1/8 """,Nozzle Head Abrasion system | ???????,20.0,,
,1/8” ID Tygon S3 Tubing1/8”ID Tygon S3,Nozzle Head Abrasion system | ???????,0.0,,
,1/8” Barbed Tube Adaptor1/8“,Peristaltic Pump |  ???,0.0,,
,NOTCHED DISC SPRING,Nozzle Head Abrasion system | ???????,10.0,,
,EXTENSION SPRING STUD ANCHOR,Nozzle Head Abrasion system | ???????,10.0,,
,STAINLESS STEEL EXTENSION SPRING,Peristaltic Pump |  ???,14.0,,
PR-50-004599,CUT-OFF WHEEL,Nozzle Head Abrasion system | ???????,20.0,,
FS05-50,Tension and Compression Force Sensors,Tensile tester | ?????,0.0,,
G1024,Extension Rods,Tensile tester | ?????,0.0,,
G1003,Miniature Component Grip,Tensile tester | ?????,2.0,,
G1074,"Vise Grip, Standard",Tensile tester | ?????,1.0,,
G1010-1,Jacobs Chuck Pin Vise Grips,Tensile tester | ?????,2.0,,
G1008,ASTM F88 / D1876 Film & Paper Peel Test Grips ,Tensile tester | ?????,0.0,,
SSM3031 ,Reflector 100w ,UV light source | UV???,2.0,,
KFB1003,Fan Filters KFB1003KFB1003,UV light source | UV???,0.0,,
LPB1008,Bulb 100 watt 100,UV light source | UV???,0.0,,
EFB1007,"4 amp, 220v AC INPUT FUSE slow blow type4?220v",UV light source | UV???,10.0,,
OLB1003,Light guide,UV light source | UV???,1.0,,
EVB2115,FOOT Pedal,UV light source | UV???,1.0,,
,Photo diode,UV light source | UV???,0.0,,
EHB1045,Solenoid ,UV light source | UV???,0.0,,
,AUV/LESCO Spotcure Intensity Meter AIB1001AUV/LESCOAIB1001,UV light source | UV???,0.0,,
EQ-CL32-405,"Battery : li-lon,3.6v,2250mA, 8.1Wh :?3.6v,2250mA, 8.1Wh",UV light wand | UV???,0.0,,
FXT-00461-04,CAGE CLAMP BODY,Proximal Wire Attach Machine | ?????,5.0,,
FXT-00461-04,CAGE CLAMP BODY,Distal Wire Attach Machine | ?????,0.0,,
